,runID,module,name,value,recordingmode,title,iaMean,numHosts,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
0,PureAlohaExperiment-0-20250306-09:40:44-5280,Aloha.server,collisionLength:mean,0.19827524052723,mean,"collision length, mean",1,10,PureAlohaExperiment,20250306-09:40:44,20250306-094044,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=1",numHosts=10/iaMean=1,"numHosts=10,iaMean=1-","$numHosts=10, $iaMean=1",Aloha,5280,0,#0,results,0,0,
1,PureAlohaExperiment-1-20250306-09:40:44-5280,Aloha.server,collisionLength:mean,0.16973577802305,mean,"collision length, mean",2,10,PureAlohaExperiment,20250306-09:40:44,20250306-094044,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=2",numHosts=10/iaMean=2,"numHosts=10,iaMean=2-","$numHosts=10, $iaMean=2",Aloha,5280,0,#0,results,1,1,
2,PureAlohaExperiment-2-20250306-09:40:44-5280,Aloha.server,collisionLength:mean,0.1618896467742,mean,"collision length, mean",3,10,PureAlohaExperiment,20250306-09:40:44,20250306-094044,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=3",numHosts=10/iaMean=3,"numHosts=10,iaMean=3-","$numHosts=10, $iaMean=3",Aloha,5280,0,#0,results,2,2,
3,PureAlohaExperiment-3-20250306-09:40:44-5280,Aloha.server,collisionLength:mean,0.15762009388453,mean,"collision length, mean",4,10,PureAlohaExperiment,20250306-09:40:44,20250306-094044,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=4",numHosts=10/iaMean=4,"numHosts=10,iaMean=4-","$numHosts=10, $iaMean=4",Aloha,5280,0,#0,results,3,3,
4,PureAlohaExperiment-4-20250306-09:40:45-5280,Aloha.server,collisionLength:mean,0.15589993331909,mean,"collision length, mean",5,10,PureAlohaExperiment,20250306-09:40:45,20250306-094045,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=5",numHosts=10/iaMean=5,"numHosts=10,iaMean=5-","$numHosts=10, $iaMean=5",Aloha,5280,0,#0,results,4,4,
5,PureAlohaExperiment-5-20250306-09:40:45-5280,Aloha.server,collisionLength:mean,0.15349937982303,mean,"collision length, mean",7,10,PureAlohaExperiment,20250306-09:40:45,20250306-094045,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=7",numHosts=10/iaMean=7,"numHosts=10,iaMean=7-","$numHosts=10, $iaMean=7",Aloha,5280,0,#0,results,5,5,
6,PureAlohaExperiment-6-20250306-09:40:45-5280,Aloha.server,collisionLength:mean,0.15314538213522,mean,"collision length, mean",9,10,PureAlohaExperiment,20250306-09:40:45,20250306-094045,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=9",numHosts=10/iaMean=9,"numHosts=10,iaMean=9-","$numHosts=10, $iaMean=9",Aloha,5280,0,#0,results,6,6,
7,PureAlohaExperiment-7-20250306-09:40:45-5280,Aloha.server,collisionLength:mean,0.24610158481185,mean,"collision length, mean",1,15,PureAlohaExperiment,20250306-09:40:45,20250306-094045,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=1",numHosts=15/iaMean=1,"numHosts=15,iaMean=1-","$numHosts=15, $iaMean=1",Aloha,5280,0,#0,results,7,7,
8,PureAlohaExperiment-8-20250306-09:40:45-5280,Aloha.server,collisionLength:mean,0.18665563161944,mean,"collision length, mean",2,15,PureAlohaExperiment,20250306-09:40:45,20250306-094045,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=2",numHosts=15/iaMean=2,"numHosts=15,iaMean=2-","$numHosts=15, $iaMean=2",Aloha,5280,0,#0,results,8,8,
9,PureAlohaExperiment-9-20250306-09:40:46-5280,Aloha.server,collisionLength:mean,0.17047920251329,mean,"collision length, mean",3,15,PureAlohaExperiment,20250306-09:40:46,20250306-094046,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=3",numHosts=15/iaMean=3,"numHosts=15,iaMean=3-","$numHosts=15, $iaMean=3",Aloha,5280,0,#0,results,9,9,
