,runID,module,name,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,recordingmode,source,title,iaMean,numHosts,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
0,PureAlohaExperiment-0-20250301-08:48:57-5956,Aloha.server,collisionMultiplicity:histogram,12392.0,12392.0,3.292850225952227,1.7013348030824962,2.0,17.0,0.0,0.0,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18.],[0.000e+00 0.000e+00 5.378e+03 3.037e+03 1.745e+03 9.810e+02 5.600e+02 3.070e+02 1.700e+02 9.800e+01 5.600e+01 2.300e+01 1.600e+01 9.000e+00 5.000e+00 3.000e+00 3.000e+00 1.000e+00],histogram,collision,collision multiplicity,1,10,PureAlohaExperiment,20250301-08:48:57,20250301-084857,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=1",numHosts=10/iaMean=1,"numHosts=10,iaMean=1-","$numHosts=10, $iaMean=1",Aloha,5956,0,#0,results,0,0,,"iaMean=1, numHosts=10"
7,PureAlohaExperiment-7-20250301-08:48:58-5956,Aloha.server,collisionMultiplicity:histogram,14698.0,14698.0,4.692475166689346,3.086756569470553,2.0,38.0,0.0,0.0,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38. 39.],[0.000e+00 0.000e+00 3.850e+03 2.890e+03 2.165e+03 1.598e+03 1.158e+03 8.360e+02 6.560e+02 4.410e+02 3.120e+02 2.320e+02 1.490e+02 1.120e+02 8.100e+01 5.900e+01 4.500e+01 3.100e+01 2.500e+01 9.000e+00 1.300e+01 8.000e+00 7.000e+00 4.000e+00 5.000e+00 3.000e+00 2.000e+00 2.000e+00 3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],histogram,collision,collision multiplicity,1,15,PureAlohaExperiment,20250301-08:48:58,20250301-084858,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=1",numHosts=15/iaMean=1,"numHosts=15,iaMean=1-","$numHosts=15, $iaMean=1",Aloha,5956,0,#0,results,7,7,,"iaMean=1, numHosts=15"
14,PureAlohaExperiment-14-20250301-08:49:00-5956,Aloha.server,collisionMultiplicity:histogram,13743.0,13743.0,6.955249945426763,5.3457891562003885,2.0,57.0,0.0,0.0,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45. 46. 47. 48. 49. 50. 51. 52. 53. 54. 55. 56. 57. 58.],[0.000e+00 0.000e+00 2.196e+03 1.924e+03 1.622e+03 1.335e+03 1.140e+03 9.380e+02 7.860e+02 6.680e+02 5.440e+02 4.510e+02 3.600e+02 2.930e+02 2.380e+02 2.150e+02 1.760e+02 1.490e+02 1.340e+02 8.900e+01 9.600e+01 7.300e+01 5.000e+01 4.200e+01 3.900e+01 3.400e+01 1.900e+01 1.900e+01 1.700e+01 1.800e+01 1.500e+01 1.100e+01 9.000e+00 5.000e+00 6.000e+00 7.000e+00 6.000e+00 3.000e+00 4.000e+00 0.000e+00 3.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],histogram,collision,collision multiplicity,1,20,PureAlohaExperiment,20250301-08:49:00,20250301-084900,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=1",numHosts=20/iaMean=1,"numHosts=20,iaMean=1-","$numHosts=20, $iaMean=1",Aloha,5956,0,#0,results,14,14,,"iaMean=1, numHosts=20"
1,PureAlohaExperiment-1-20250301-08:48:57-5956,Aloha.server,collisionMultiplicity:histogram,5960.0,5960.0,2.5340604026845637,0.8992814474387351,2.0,10.0,0.0,0.0,[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11.],[0.000e+00 3.894e+03 1.329e+03 4.800e+02 1.670e+02 6.700e+01 1.700e+01 3.000e+00 2.000e+00 1.000e+00],histogram,collision,collision multiplicity,2,10,PureAlohaExperiment,20250301-08:48:57,20250301-084857,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=2",numHosts=10/iaMean=2,"numHosts=10,iaMean=2-","$numHosts=10, $iaMean=2",Aloha,5956,0,#0,results,1,1,,"iaMean=2, numHosts=10"
8,PureAlohaExperiment-8-20250301-08:48:59-5956,Aloha.server,collisionMultiplicity:histogram,9866.0,9866.0,2.9691871072369755,1.3618743561154643,2.0,17.0,0.0,0.0,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18.],[0.000e+00 0.000e+00 4.958e+03 2.520e+03 1.195e+03 6.330e+02 2.920e+02 1.390e+02 7.500e+01 2.500e+01 1.400e+01 7.000e+00 3.000e+00 3.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00],histogram,collision,collision multiplicity,2,15,PureAlohaExperiment,20250301-08:48:59,20250301-084859,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=2",numHosts=15/iaMean=2,"numHosts=15,iaMean=2-","$numHosts=15, $iaMean=2",Aloha,5956,0,#0,results,8,8,,"iaMean=2, numHosts=15"
15,PureAlohaExperiment-15-20250301-08:49:01-5956,Aloha.server,collisionMultiplicity:histogram,12612.0,12612.0,3.442277196320964,1.8790013535557009,2.0,24.0,0.0,0.0,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25.],[0.000e+00 0.000e+00 5.186e+03 3.007e+03 1.821e+03 1.062e+03 6.440e+02 3.410e+02 2.410e+02 1.240e+02 7.800e+01 3.900e+01 2.900e+01 1.700e+01 7.000e+00 1.000e+01 4.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],histogram,collision,collision multiplicity,2,20,PureAlohaExperiment,20250301-08:49:01,20250301-084901,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=2",numHosts=20/iaMean=2,"numHosts=20,iaMean=2-","$numHosts=20, $iaMean=2",Aloha,5956,0,#0,results,15,15,,"iaMean=2, numHosts=20"
2,PureAlohaExperiment-2-20250301-08:48:58-5956,Aloha.server,collisionMultiplicity:histogram,3378.0,3378.0,2.318827708703375,0.6497357285434965,2.0,7.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7. 8.],[   0. 2563.  615.  157.   27.   13.    3.],histogram,collision,collision multiplicity,3,10,PureAlohaExperiment,20250301-08:48:58,20250301-084858,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=3",numHosts=10/iaMean=3,"numHosts=10,iaMean=3-","$numHosts=10, $iaMean=3",Aloha,5956,0,#0,results,2,2,,"iaMean=3, numHosts=10"
9,PureAlohaExperiment-9-20250301-08:48:59-5956,Aloha.server,collisionMultiplicity:histogram,6157.0,6157.0,2.561474744193601,0.9500163988635165,2.0,11.0,0.0,0.0,[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12.],[0.000e+00 3.964e+03 1.400e+03 4.970e+02 1.900e+02 6.200e+01 3.000e+01 7.000e+00 4.000e+00 2.000e+00 1.000e+00],histogram,collision,collision multiplicity,3,15,PureAlohaExperiment,20250301-08:48:59,20250301-084859,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=3",numHosts=15/iaMean=3,"numHosts=15,iaMean=3-","$numHosts=15, $iaMean=3",Aloha,5956,0,#0,results,9,9,,"iaMean=3, numHosts=15"
16,PureAlohaExperiment-16-20250301-08:49:01-5956,Aloha.server,collisionMultiplicity:histogram,8631.0,8631.0,2.8338547097671185,1.2306319987371854,2.0,12.0,0.0,0.0,[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13.],[0.000e+00 4.706e+03 2.128e+03 9.760e+02 4.610e+02 2.020e+02 8.700e+01 3.400e+01 1.900e+01 1.100e+01 4.000e+00 3.000e+00],histogram,collision,collision multiplicity,3,20,PureAlohaExperiment,20250301-08:49:01,20250301-084901,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=3",numHosts=20/iaMean=3,"numHosts=20,iaMean=3-","$numHosts=20, $iaMean=3",Aloha,5956,0,#0,results,16,16,,"iaMean=3, numHosts=20"
3,PureAlohaExperiment-3-20250301-08:48:58-5956,Aloha.server,collisionMultiplicity:histogram,2097.0,2097.0,2.2341440152598953,0.5269616606975593,2.0,6.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7.],[0.000e+00 1.696e+03 3.230e+02 6.700e+01 1.000e+01 1.000e+00],histogram,collision,collision multiplicity,4,10,PureAlohaExperiment,20250301-08:48:58,20250301-084858,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=4",numHosts=10/iaMean=4,"numHosts=10,iaMean=4-","$numHosts=10, $iaMean=4",Aloha,5956,0,#0,results,3,3,,"iaMean=4, numHosts=10"
10,PureAlohaExperiment-10-20250301-08:48:59-5956,Aloha.server,collisionMultiplicity:histogram,4195.0,4195.0,2.4042908224076283,0.7447675952335931,2.0,9.0,0.0,0.0,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],[0.000e+00 0.000e+00 2.983e+03 8.610e+02 2.460e+02 8.600e+01 1.300e+01 4.000e+00 1.000e+00 1.000e+00],histogram,collision,collision multiplicity,4,15,PureAlohaExperiment,20250301-08:48:59,20250301-084859,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=4",numHosts=15/iaMean=4,"numHosts=15,iaMean=4-","$numHosts=15, $iaMean=4",Aloha,5956,0,#0,results,10,10,,"iaMean=4, numHosts=15"
17,PureAlohaExperiment-17-20250301-08:49:01-5956,Aloha.server,collisionMultiplicity:histogram,6241.0,6241.0,2.5962185547187953,0.977673090935309,2.0,11.0,0.0,0.0,[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12.],[0.000e+00 3.915e+03 1.445e+03 5.660e+02 1.850e+02 9.100e+01 2.300e+01 9.000e+00 3.000e+00 1.000e+00 3.000e+00],histogram,collision,collision multiplicity,4,20,PureAlohaExperiment,20250301-08:49:01,20250301-084901,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=4",numHosts=20/iaMean=4,"numHosts=20,iaMean=4-","$numHosts=20, $iaMean=4",Aloha,5956,0,#0,results,17,17,,"iaMean=4, numHosts=20"
